startsAt,open,high,low,close,volume,quoteVolume
1541818800,211.50000000,212.54999999,211.07200324,212.54999999,16.85221234,3562.71336735
1541822400,211.08931183,213.00000000,211.08931183,213.00000000,12.26741417,2600.64355532
1541826000,212.59380360,213.00000000,212.00028000,213.00000000,10.28614810,2190.59568916
1541829600,212.66422307,213.81100853,212.51754211,212.72055280,6.12943834,1305.13979109
1541833200,212.72055280,212.74248245,212.59636785,212.59636785,0.46654168,99.23294123
1541836800,212.59636785,212.59636786,212.33530727,212.33530727,4.07906524,866.42979075
1541840400,212.33530727,213.01553861,211.25713509,212.81765604,61.77208392,13065.89598501
1541844000,212.81765604,213.09919877,211.54949871,211.54949871,29.51425589,6276.29053353
1541847600,212.36391435,213.18212030,212.36391435,213.18212030,1.96568839,418.66515487
1541851200,212.14122843,214.44421128,212.14122843,213.72507542,15.18886489,3247.14753882
1541854800,214.08221706,214.94515027,214.00000000,214.61691559,34.07131305,7317.12151011
1541858400,214.15876011,214.61691557,213.40327244,214.61691557,5.86297002,1257.98521234
1541862000,214.30030631,214.89914898,213.60691219,214.55555556,22.53806294,4841.99443145
1541865600,214.55555557,214.89914898,214.55555556,214.86716861,19.47485487,4184.90475096
1541869200,214.94514000,215.93509435,214.35613714,214.80000000,58.71044146,12656.49989453
1541872800,215.25707900,215.39999358,214.50000000,214.50000000,45.69615630,9807.78215253
1541876400,215.30000000,215.30000000,214.40000000,214.40000000,22.39738986,4805.17656077
1541880000,214.59793692,214.59793692,214.40000000,214.40000000,3.20994433,688.26008786
1541883600,215.19174787,215.19999500,214.80999750,215.19999500,3.25806065,701.06337338
1541887200,215.19999500,215.19999500,214.30000000,214.89917798,28.18185398,6043.78738770
1541890800,215.13729497,215.13729497,212.49435796,212.49435796,176.10033027,37659.10811203
1541894400,212.49435796,212.49435796,212.49435796,212.49435796,0,0
1541898000,213.71319143,213.71319143,213.23900000,213.71319143,2.40498817,513.91225868
1541901600,213.94886965,213.94886965,212.87025000,213.36338938,33.66704616,7183.04367411
1541905200,212.51000352,212.53943823,211.31954090,211.73806229,33.08399943,7007.32410058
1541908800,212.66470537,212.66470537,212.44948869,212.44948869,1.20853584,257.00258793
1541912400,212.03630487,212.66470537,212.03630487,212.66470537,0.44451744,94.32742111
1541916000,212.44956353,213.71868672,212.44956353,213.71868672,0.85429303,181.85649658
1541919600,213.17583423,213.90042897,212.66470537,213.90042897,1.57566911,336.43334269
1541923200,213.50543966,214.41045777,213.50543966,214.00000000,1.80832965,386.95325580
1541926800,214.00000000,214.00000000,212.66470567,212.66471000,16.00570787,3407.45213234
1541930400,212.66471000,213.45164721,212.66470537,212.66500000,3.70174160,788.39193430
1541934000,213.05817360,213.45164720,212.03705879,212.03705879,13.74593589,2925.07718628
1541937600,212.28250097,213.45134717,211.99199335,213.45134717,4.25686376,905.82725195
1541941200,211.91256013,213.45134717,211.91256013,212.90464905,189.73473494,40473.05714031
