Name	Emittent	ISIN
BLACKROCK ESG MULTI-ASSET MOD PTF ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BLLZQS08 
BNNP E JPM ESG EMU GOVT BD IG 3-5 Y 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU2244387457 
BNP PARIBAS E CP BD SRI FSL FR 1-3Y 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU2008760592 
BNP PARIBAS EASY CORP BOND SRI FSSL FR 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1859444769 
BNP PARIBAS EASY HIGH YIELD SRI FSSLFR 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU2244386053 
BNPP E ECPI GLOBAL ESG BLUE ECONOMY 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU2194447293 
BNPP E ECPI GLOBAL ESG INFRASTRUCTURE 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1291109293 
BNPP E ESG EQUITY VALUE EUROPE 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1377382285 
BNPP E FTSE EPRA NRT DEV EUR EX UKGRNCTB 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU2008763935 
BNPP E FTSE EPRA/NAREIT DEVELOPED EUROPE 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1291091228 
BNPP E FTSE EPRA/NAREIT EUROZONE CAPPED 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU0950381748 
BNPP E FTSE EPRA/NAREIT EUROZONE CAPPED 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU0192223062 
BNPP E LOW CARBON 100 EUROPE PAB 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1377382368 
BNPP E MSCI EMU EX CW 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1291098827 
BNPP E MSCI EUROPE SRI S-SR PAB 5% CPD 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1753045415 
BNPP E MSCI EURP SMCP SRI S-SR PAB 5%CPD 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1291101555 
BNPP E MSCI JAPAN ESG FILTERED MIN TE 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1481203070 
BNPP E MSCI JAPAN SRI S-SR PAB 5% CPD 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1753045928 
BNPP E MSCI NA ESG FILTERED MIN TE 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1291104575 
